Symbol,ETF Name,Asset Class,Total Assets ,YTD Price Change,Avg. Daily Volume,Previous Closing Price,1-Day Change,Inverse,Leveraged,1 Week,1 Month,1 Year,3 Year,5 Year,YTD FF,1 Week FF,4 Week FF,1 Year FF,3 Year FF,5 Year FF,ETF Database Category,Inception,ER,Commission Free,Annual Dividend Rate,Dividend Date,Dividend,Annual Dividend Yield %,P/E Ratio,Beta,# of Holdings,% In Top 10,ST Cap Gain Rate,LT Cap Gain Rate,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Liquidity Rating,Expenses Rating,Returns Rating,Volatility Rating,Dividend Rating,Concentration Rating,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),SRI Exclusion Criteria (%),Sustainable Impact Solutions (%)
JEPI,JPMorgan Equity Premium Income Fund,Equity,"$37,112,900,000",-4.84%,"4,961,449",$53.76,0.28%,No,False,0.56%,-4.94%,4.22%,4.55%,N/A,"$2,966,696,250.00","$21,068,000.00","$420,819,750.00","$6,329,533,000.00","$30,998,425,000.00","$39,262,457,500.00",Large Cap Blend Equities,2020-05-20,0.35%,N/A,$4.33,2025-04-01,$0.41,8.08%,18.15,0.62,115,17.71%,40%,20%,1099,$51.34,$58.73,N/A,N/A,42.35,A,B+,B,A,A,N/A,6.64,83.13%,57.50%,154.74,10.33%,5.06%
JPST,JPMorgan Ultra-Short Income ETF,Bond,"$30,037,200,000",1.36%,"7,526,051",$50.49,0.00%,No,False,0.26%,0.32%,5.41%,4.55%,3.09%,"$2,044,966,000.00","$116,385,000.00","-$1,106,054,000.00","$7,265,177,000.00","$10,860,199,500.00","$20,273,744,500.00",Corporate Bonds,2017-05-17,0.18%,N/A,$2.51,2025-04-01,$0.19,4.98%,0.00,0.03,748,34.14%,40%,20%,1099,$50.34,$50.52,$50.48,$50.52,67.76,A,A+,C+,A,A-,N/A,7.0,88.56%,72.99%,72.53,4.03%,0.86%
DFAC,Dimensional U.S. Core Equity 2 ETF,Equity,"$29,420,100,000",-10.57%,"2,922,316",$30.86,0.42%,No,False,0.72%,-6.57%,3.17%,6.07%,N/A,"$728,078,937.95","$192,215,339.40","$264,813,656.37","$3,166,508,062.26","$11,112,716,762.26","$12,874,085,297.53",All Cap Equities,2021-06-14,0.17%,N/A,$0.37,2025-03-25,$0.08,1.22%,0.00,0.96,2593,23.08%,40%,20%,1099,$29.05,$34.73,N/A,N/A,41.22,A,A-,B,A-,A-,N/A,6.36,26.87%,46.06%,107.82,8.40%,6.67%
JEPQ,JPMorgan NASDAQ Equity Premium Income ETF,Equity,"$22,306,200,000",-11.19%,"6,938,783",$48.74,-0.04%,No,False,-0.25%,-6.38%,3.96%,N/A,N/A,"$4,890,312,500.00","$394,324,750.00","$1,412,521,750.00","$12,672,783,500.00","$23,550,634,450.00","$23,550,634,450.00",Large Cap Blend Equities,2022-05-03,0.35%,N/A,$5.77,2025-04-01,$0.54,11.83%,21.76,-0.84,93,51.02%,40%,20%,1099,$46.06,$54.33,N/A,N/A,41.91,A,B+,A,B+,A,N/A,6.36,65.53%,45.85%,71.26,8.21%,8.14%
JAAA, Janus Henderson AAA CLO ETF,Bond,"$19,645,000,000",0.49%,"8,278,959",$50.30,0.12%,No,False,1.02%,-0.05%,5.48%,5.62%,N/A,"$3,250,963,500.00","-$235,748,000.00","-$2,132,354,000.00","$11,920,464,500.00","$18,431,960,000.00","$19,757,197,491.98",Corporate Bonds,2020-10-16,0.20%,N/A,$3.08,2025-04-01,$0.24,6.13%,0.00,0.03,363,15.60%,40%,20%,1099,$49.84,$50.62,$50.24,$50.35,51.35,B+,C+,N/A,A-,A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
FBND,Fidelity Total Bond ETF,Bond,"$18,271,100,000",1.58%,"2,302,686",$45.09,-0.16%,No,False,0.69%,-0.55%,6.67%,1.85%,0.26%,"$1,276,835,447.75","-$229,959,748.95","$66,478,820.75","$9,412,315,972.80","$16,071,184,432.55","$17,601,409,637.55",Total Bond Market,2014-10-06,0.36%,Fidelity,$2.10,2025-03-28,$0.18,4.65%,0.11,0.17,4232,21.39%,40%,20%,1099,$44.60,$46.08,$45.03,$45.18,47.39,A,B-,C+,B-,A-,N/A,5.78,7.14%,31.70%,220.28,1.59%,0.45%
DYNF,iShares U.S. Equity Factor Rotation Active ETF,Equity,"$14,486,100,000",-10.07%,"2,061,164",$45.93,0.07%,No,False,0.09%,-6.25%,8.31%,12.30%,16.31%,"$2,560,781,152.50","$129,423,210.00","-$220,307,810.00","$7,178,392,970.00","$14,251,795,102.50","$14,241,233,065.00",Large Cap Growth Equities,2019-03-19,0.27%,N/A,$0.47,2025-03-18,$0.17,1.01%,18.26,0.97,109,44.96%,40%,20%,1099,$43.49,$51.26,N/A,N/A,41.44,B,B,B-,B+,A-,N/A,6.32,21.87%,44.35%,94.78,16.75%,6.63%
CGDV,Capital Group Dividend Value ETF,Equity,"$14,130,700,000",-4.71%,"3,727,297",$33.50,-0.36%,No,False,0.09%,-6.12%,8.80%,11.30%,N/A,"$2,688,457,083.22","$207,825,233.68","$762,373,440.46","$6,986,582,517.86","$12,711,144,972.14","$12,841,967,094.16",Large Cap Value Equities,2022-02-22,0.33%,N/A,$0.57,2025-03-31,$0.11,1.70%,0.00,0.91,54,41.13%,40%,20%,1099,$31.87,$37.27,N/A,N/A,41.51,A,B+,A+,B-,C,N/A,6.01,4.09%,36.39%,100.74,25.33%,2.39%
AVUV,Avantis U.S. Small Cap Value ETF,Equity,"$13,437,700,000",-16.35%,"1,347,327",$80.45,1.54%,No,False,3.26%,-7.20%,-5.88%,2.34%,22.46%,"$1,109,463,468.00","$86,785,798.00","$258,650,616.00","$4,835,263,944.00","$11,403,489,694.00","$13,753,789,793.84",Small Cap Value Equities,2019-09-24,0.25%,N/A,$1.59,2025-03-25,$0.34,1.98%,0.14,1.28,788,8.74%,40%,20%,1099,$73.45,$92.82,$79.71,$80.99,40.79,A,B+,N/A,N/A,B+,N/A,5.61,22.89%,29.18%,211.16,2.07%,5.28%
MINT,PIMCO Enhanced Short Maturity Active Exchange-Traded Fund,Bond,"$12,935,500,000",1.16%,"1,644,825",$100.28,0.06%,No,False,0.13%,0.20%,5.14%,4.57%,2.93%,"$1,062,828,200.00","$371,550,200.00","-$224,415,100.00","$1,520,573,600.00","$348,841,500.00","$719,124,700.00",Total Bond Market,2009-11-16,0.35%,N/A,$5.15,2025-04-01,$0.40,5.14%,0.00,0.05,843,15.56%,40%,20%,1099,$100.12,$100.29,$100.26,$100.29,68.15,A,B-,A,A,C+,A+,6.66,67.16%,58.07%,119.97,9.54%,0.70%
